City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tidore,62.456,-114.3525,270.44,93,20,2.57,CA,1668369581
1,tidore,-34.5322,20.0403,288.28,82,0,0.82,ZA,1668369581
2,tidore,-46.1927,168.8643,283.57,85,56,2.06,NZ,1668369581
3,tidore,-21.2,-175.2,297.1,89,100,10.84,TO,1668369582
4,tidore,-23.1203,-134.9692,296.89,88,97,7.68,PF,1668369582
5,tidore,-5.7,34.4833,296.63,50,100,1.62,TZ,1668369582
6,tidore,53.3925,-2.5802,285.07,85,20,4.12,GB,1668369582
7,tidore,20.5169,-13.0499,300.69,10,2,3.78,MR,1668369583
8,tidore,-11.55,20.7833,293.71,86,100,2.66,AO,1668369583
9,tidore,5.4112,100.3354,299.95,95,20,1.54,MY,1668369509
10,tidore,48.0056,91.6419,270.6,46,100,2.45,MN,1668369584
11,tidore,19.7297,-155.09,299.88,79,21,1.34,US,1668369584
12,tidore,71.9667,102.5,241.43,99,100,2.83,RU,1668369584
13,tidore,38.8451,-76.875,282.63,48,100,7.2,US,1668369584
14,tidore,-45.5752,-72.0662,290.49,51,75,2.87,CL,1668369585
15,tidore,-5.0892,-81.1144,293.36,71,39,7.4,PE,1668369585
16,tidore,-33.5906,26.891,287.14,88,4,0.45,ZA,1668369585
17,tidore,52.5872,34.2778,277.53,80,21,4.49,RU,1668369586
18,tidore,34.0389,-6.8166,286.53,58,96,0.0,MA,1668369586
19,tidore,-0.6,73.0833,300.51,77,100,6.0,MV,1668369586
20,tidore,-53.15,-70.9167,291.21,34,0,6.69,CL,1668369518
21,tidore,65.6145,-37.6368,277.49,56,100,13.84,GL,1668369587
22,tidore,-46.2817,169.8464,284.34,77,87,4.49,NZ,1668369587
23,tidore,77.484,-69.3632,256.34,97,100,2.0,GL,1668369587
24,tidore,43.6475,111.9767,268.86,61,2,3.5,CN,1668369587
25,tidore,7.4167,81.8167,297.78,87,100,1.64,LK,1668369588
